Wall time,Step,Value
1581881070.7506402,724,10987.33984375
1581881074.202997,725,-14220.478515625
1581881076.8092346,726,-5893.30126953125
1581881079.4772615,727,1049.9793701171875
1581881086.3097227,729,-2689.440185546875
1581881088.9946663,730,4683.03662109375
1581881091.6381135,731,-2458.327392578125
1581881094.259721,732,5139.09521484375
1581881098.8524404,733,1247.7169189453125
1581881104.1712427,735,4694.30029296875
1581881106.7756205,736,-758.0693359375
1581881110.2658198,737,1255.7042236328125
1581881113.1261575,738,-3010.171142578125
1581881115.7511764,739,3375.47265625
1581881118.3883865,740,-1272.627685546875
1581881122.0565274,741,5897.88818359375
1581881124.6491077,742,3095.000244140625
1581881127.413001,743,-4334.32177734375
1581881130.2297254,744,858.7495727539062
1581881133.8014178,745,5078.12890625
1581881136.3838418,746,-10177.2138671875
1581881139.0545833,747,3904.373046875
1581881141.6657965,748,216.80343627929688
1581881147.8576055,750,-1830.157958984375
1581881150.46068,751,2729.610107421875
1581881153.0902274,752,4021.094970703125
1581881157.6639657,753,4840.43994140625
1581881160.482146,754,1508.3966064453125
1581881163.1769676,755,-2185.768310546875
1581881165.8096435,756,-5966.3525390625
1581881170.0178583,757,2133.37353515625
1581881177.8770242,760,1922.7779541015625
1581881182.0888658,761,7874.47119140625
1581881187.6690927,763,-10096.3701171875
1581881190.3816848,764,9722.544921875
1581881194.2501833,765,-2098.288818359375
1581881197.0469887,766,-629.9180908203125
1581881200.810028,767,430.29522705078125
1581881204.4024389,768,642.4298095703125
1581881209.3302925,769,261.7654724121094
1581881212.3666568,770,-7848.93212890625
1581881215.5571518,771,-6275.10205078125
1581881218.6457675,772,-5564.0234375
1581881222.9176831,773,-1824.89208984375
1581881225.7422361,774,10578.2890625
1581881228.391715,775,3165.586181640625
1581881231.043069,776,3196.95751953125
1581881234.9938834,777,6230.12158203125
1581881240.3610888,779,3462.77783203125
1581881242.9817476,780,6102.31982421875
1581881246.4931667,781,-5914.93505859375
1581881249.113344,782,3905.63671875
1581881251.69987,783,3153.978271484375
1581881254.381835,784,405.5761413574219
1581881257.834099,785,1042.643798828125
1581881260.451125,786,4092.017578125
1581881263.8061812,787,3427.46533203125
1581881266.4233537,788,-4646.74755859375
1581881269.8957322,789,2802.934326171875
1581881272.5550914,790,-1180.0316162109375
1581881275.2295783,791,52.228294372558594
1581881278.1873028,792,919.4378662109375
1581881282.8797948,793,1937.9212646484375
1581881286.3910234,794,-2033.025390625
1581881289.5446749,795,2833.177490234375
1581881292.496221,796,6483.3837890625
1581881298.7079513,797,1828.2086181640625
1581881301.514314,798,-2485.797119140625
1581881304.235106,799,-2262.118408203125
1581881306.9553826,800,-1316.6260986328125
1581881310.9865713,801,1262.049560546875
1581881317.049873,803,-4066.334716796875
1581881320.7409143,804,-310.9396057128906
1581881326.7319143,805,450.3575744628906
1581881329.681667,806,5403.7314453125
1581881332.5228677,807,-9579.037109375
1581881335.2219355,808,-4350.96044921875
1581881339.6486902,809,6030.17822265625
1581881342.4813068,810,-792.787841796875
1581881347.8373926,812,-4534.54345703125
1581881352.3067157,813,2247.776611328125
1581881355.3681695,814,431.3515930175781
1581881358.1366327,815,-4514.6630859375
1581881360.8848274,816,-4807.97216796875
1581881365.2702909,817,-5653.33349609375
1581881368.027413,818,2072.001953125
1581881370.6888382,819,-10322.9638671875
1581881373.448136,820,194.0923614501953
1581881377.0947099,821,5890.07861328125
1581881380.2146025,822,2735.3154296875
1581881386.2030785,824,1057.5701904296875
1581881390.0364852,825,-2185.63916015625
1581881392.850442,826,-4269.90673828125
1581881395.5946724,827,-445.5188903808594
1581881402.6511865,829,-3124.044921875
1581881405.9435024,830,4935.71826171875
1581881409.2819912,831,-3573.830810546875
1581881412.0988786,832,1111.983642578125
1581881416.8888295,833,-3593.289306640625
1581881419.874408,834,234.30923461914062
1581881422.7182102,835,5388.80615234375
1581881425.5920753,836,1162.7476806640625
1581881429.7832677,837,810.928955078125
1581881432.6390955,838,-2202.7451171875
1581881435.3971467,839,-725.5820922851562
1581881438.1642532,840,-930.058349609375
1581881442.6492248,841,-2727.47705078125
1581881448.5165515,843,-174.98585510253906
1581881451.2712588,844,-5938.33203125
1581881459.4527943,846,939.164794921875
1581881462.1814725,847,1897.148193359375
1581881464.84443,848,-3900.503662109375
1581881469.6032944,849,5276.4150390625
1581881475.779119,851,3792.5498046875
1581881478.5918381,852,-644.4768676757812
1581881483.527579,853,7647.77001953125
1581881486.3853736,854,5249.19775390625
1581881491.8236804,856,-7445.3125
1581881498.786009,858,933.693359375
1581881504.1498952,860,-1942.989501953125
1581881507.9370844,861,307.5809326171875
1581881510.609181,862,-1375.2830810546875
1581881513.1994228,863,9722.6201171875
1581881515.8022442,864,807.2186889648438
1581881522.607037,866,3332.41845703125
1581881525.4540563,867,5395.2490234375
1581881528.300842,868,3526.396484375
1581881531.8551397,869,8283.6455078125
1581881534.6761703,870,2605.25
1581881537.4076424,871,-2800.671875
